Calificación util,Calificación divertido,Recomendacion,Horas jugadas,Fecha de Reseña,Reseña
A 48 personas les pareció útil esta reseña,2 personas encontraron divertida esta reseña,Recomendado,7.7 h registradas,Publicada el 18 de julio de 2024,"Cuando hablamos de este juego es inevitable hablar de Dark and Darker y después de haber jugado los 2 puedo decir que este juego si te da la experiencia completa siendo Free2Play y a la vez tiene una jugabilidad mucho mas fluida y a la vez mejores gráficos/estilo artístico...
La mayoría de los que reseñen este juego negativamente son Fans de Dark and Darker acusando a este juego de copia o gente que compro en su momento el Dark and Darker y se siente est*pid* de haber pagado y ver que la gente elija este juego... asique si estas pensando en darle una oportunidad a este juego y lees esto entra y probalo que es F2P y saca tus propias conclusiones."
A 7 personas les pareció útil esta reseña,0,No recomendado,363.3 h registradas,Publicada el 6 de septiembre de 2024,"grandioso ♥♥♥♥♥♥♥ haciendo equipos para matar solo latinos, equipo de 9 ♥♥♥♥♥♥♥ para matar a uno de 3 solo latinos.
todas las salas pasa lo mismo, equipos de ♥♥♥♥♥♥♥ cazando a latinos. ya es mi octava de 10 partida que pasa lo mismo. gg game
no recomiendo el juego ya, simplemente mataron a los latinos al eliminar el server
server: america... ping 250. Great ♥♥♥♥♥♥♥ making teams to kill only Latinos, team of 9 ♥♥♥♥♥♥♥ to kill one of only 3 Latinos.
In all rooms the same thing happens, teams of ♥♥♥♥♥♥♥ hunting Latinos. This is my eighth of 10 games where the same thing happens. gg game
I'm going to uninstall"
A 24 personas les pareció útil esta reseña,2 personas encontraron divertida esta reseña,Recomendado,2.4 h registradas,Publicada el 18 de julio de 2024,
A 79 personas les pareció útil esta reseña,12 personas encontraron divertida esta reseña,No recomendado,0.6 h registradas,Publicada el 18 de julio de 2024,high ping for latin america
A 10 personas les pareció útil esta reseña,0,No recomendado,23.6 h registradas,Publicada el 11 de septiembre de 2024,"Publico esta review negativa en forma de protesta por que quitaron los servidores de LATAM, fueron unificados junto con US East y US West en un solo server llamad America, ahora es imposible jugar por que todo sur america tiene 250 de ping jugando, lo cual lo hace imposible de disfrutar el juego."
A 6 personas les pareció útil esta reseña,0,Recomendado,7.3 h registradas,Publicada el 14 de septiembre de 2024,"El juego tiene potencial, pero falla en muchos aspectos, como por ejemplo:
1.- La nivelación de los jugadores: A muchos le ha pasado el encontrarse con jugadores de nivel muy alto y con un muy buen equipamiento, siendo ellos de nivel y equipamiento básico, esto haciendo que los jugadores nuevos progresen mas lento y que los que ya llevan mucho tiempo suban, una solución a esto seria colocar a los objetos un tipo de cuantificador de poder el cual dependa de sus estadísticas o nivel de rareza, esto haría que los jugadores con un poder alto, solo se pudieran encontrar con otros jugadores de nivel similar.
2.- Árbol de habilidades: muchos de los roles de personajes no tienen tantas habilidades, a lo cual hacen que no sean llamativos o que solo se usen un tipo de habilidad, una solución podría ser el colocar un árbol de habilidades dependiendo del rol, el cual se pueda ir mejorando por  mientras que se sube de nivel, siendo algunas mejoras generales para el personaje (como más daño, vida, regeneración de vida o mana, entre otras) y mas habilidades que dependan del rol que se eligió, haciendo de que se pudiera especializar mas al personaje para ciertos tipos de combates o de estrategias.
3.- Nuevos tipos de armas y/o de Roles: aunque los roles que se pueden elegir son muy diversas, se podrían añadir más, como una clase de lancero (la cual pueda usar una lanza ligera y un escudo o una lanza de dos manos), un tipo de tanque (el cual pueda usar un escudo pesado de dos manos o un martillo de guerra) y algún tipo de arquero (el cual pueda usar un arco, el cual dispare mas rápido pero haga menos daño que  una ballesta y alguna arma cuerpo a cuerpo para defenderse).
También se podría agregar un rol tipo necromancer/invocador (el cual pueda invocar mininos o revivir algunos monstruos de la mazmorra, el cual dependan del nivel del monstruo o del objeto para invocar que posea), algún tipo de bardo, el cual sea  soporte para el equipo (subiendo el ataque, el movimiento o alguna estadística del grupo con sus habilidades, o adormeciendo a los monstruos cercanos con otra habilidad)
4.- Rendimiento: se presentan muchos bajones de Fps, pocos servidores disponibles, lo cual provoca lag en las partidas y no se encuentra muy bien optimizado.
5.- Nuevos tipos de juego, Se podría agregar algún tipo de modo como:
-Modo de entrenamiento: el cual serviría para probar y experimentar diferentes tipos de roles, equipos y habilidades, haciendo que los jugadores puedan crear un estilo de juego que les guste sin el miedo de perder sus cosas en el proceso.
- Modo de duelos: el cual enfrentaría directamente a 2 jugadores o equipos en duelos simples o mas jugadores (todos contra todos) a la vez. (también se podría hacer como tornes donde participan 8 equipos en combates entre si).
- Modo Arena: un modo donde puedas enfrentarte a rondas de enemigos en equipo o con otros jugadores y intentar de sobrevivir, donde se te de la elección de irte tras cada ronda o ir por una recompensa mayor pero más difícil, aunque si mueres en una se perderían todas las cosas que conseguiste en las rondas anteriores (no el equipamiento que traías al iniciar la partida)
(Aunque dejaría los modos para más adelante , excepto el de entrenamiento, el cual tendría una mayor prioridad que los otros)
6.- mecánicas de combate:  Se podría mejorar el sistema de combate que existe, de tal manera que los combates no se decidan a través de el primer golpe, si no con otras interacciones como el permitir desviar ataques físicos y mágicos (dependiendo del rol), se podría colocar un tipo de esquive, el cual posea un cooldown, un sistema de estamina, el cual permita correr, hacer golpes cargados o esquivar, ademas de mayor variedad en los tipos de ataque a realizar con un arma de modo que excitan mas interacciones al momento de realizar en los combates.
Se que es un  juego con acceso anticipado y que posiblemente nada de esto se pueda aplicar, pero de igual manera seria genial ver algunas ideas como estas o parecidas a estas en el juego para añadir cierta variedad, el juego merece la pena y al final es satisfactorio el salir con vida de una dungeon con mucho loot, ojala mejoren los problemas que posee actualmente para que mas gente conozca este gran juego."
A 4 personas les pareció útil esta reseña,0,No recomendado,129.2 h registradas,Publicada el 4 de noviembre de 2024,"Me encantaba el juego pero los desarrolladores realmente manejaron muy mal las cosas, desde que unificaron los servidores de america es injugable por el ping, es una pena porque la verdad me encantaba el juego."
A 5 personas les pareció útil esta reseña,0,No recomendado,26.6 h registradas,Publicada el 27 de septiembre de 2024,"un mes sin jugar y está horrible, quitaron los servers de latinoamerica, las clases que eran horribles jugarles en contra siguen igual, y un total desinteres por el los jugadores, me siento bien de haberlo jugarlo en su mejor momento pero igual es triste ver un juego con tanto potencial arruinar todo."
A 6 personas les pareció útil esta reseña,2,Recomendado,14.5 h registradas,Publicada el 20 de julio de 2024,"honestamente como yo lo veo cubre todas las falencias que tenia Dark and Darker, después te das cuenta que no te cobran y solo te queda alegría, muy buen juego"
A 8 personas les pareció útil esta reseña,0,Recomendado,16.2 h registradas,Publicada el 22 de julio de 2024,"Para los se están quejando y llorando por el ping latam y servers.
Primero si hay servers y segundo el ping esta bien. Si te anda mal optimiza tu Internet hermano"
